ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
LeafEpidermis,Glandless,Glandless,gene,glandular_regulation,77.3320541381836,-0.23374545574188232,,False
LeafEpidermis,GCR1,GCR1,gene,glandular_regulation,1.8788999319076538,-0.30449995398521423,,False
LeafEpidermis,GCR2,GCR2,gene,glandular_regulation,2.3065335750579834,-0.2916255593299866,,False
LeafEpidermis,TOE1B,TOE1B,gene,glandular_regulation,13.274176597595215,-0.20712848007678986,,True
LeafEpidermis,LFS,LFS,gene,glandular_regulation,4.668281078338623,-0.12630394101142883,,False
LeafEpidermis,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,0.0,-0.3180793523788452,,False
LeafEpidermis,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,0.548835039138794,-0.24697254598140717,,False
LeafEpidermis,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,1.0049548149108887,-0.06767270714044571,,True
LeafEpidermis,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,0.548835039138794,0.7407078146934509,,False
LeafEpidermis,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,29.8038387298584,0.30961835384368896,,True
LeafEpidermis,MCPI,MCPI,gene,typeVI_terpene_metabolism,35.6656494140625,-0.3706156313419342,,True
LeafEpidermis,EOT1,EOT1,gene,typeVI_terpene_metabolism,0.7081530690193176,-0.3306357264518738,,True
LeafEpidermis,EOT2,EOT2,gene,typeVI_terpene_metabolism,0.40623852610588074,-0.35312381386756897,,False
LeafEpidermis,TPS9,TPS9,gene,typeVI_terpene_metabolism,7.1791839599609375,-0.4090811312198639,,False
LeafEpidermis,RBCS-1,RBCS-1,gene,reference_control,233.8843536376953,-0.2216605842113495,,True
LeafEpidermis,CAB13,CAB13,gene,reference_control,319.7676086425781,-0.32388025522232056,,False
LeafEpidermis,PSBO,PSBO,gene,reference_control,120.05181121826172,0.029722968116402626,,True
LeafEpidermis,PSBS,PSBS,gene,reference_control,113.91397857666016,-0.214200958609581,,False
LeafEpidermis,PSBR,PSBR,gene,reference_control,604.9490356445312,-0.05274258553981781,,False
LeafEpidermis,WEE1,WEE1,gene,reference_control,21.281291961669922,-0.6088269948959351,,False
LeafEpidermis,Histone H4,Histone H4,gene,reference_control,460.35980224609375,-0.5707036256790161,,True
Trichome,ML1,ML1,gene,epidermal_identity,347.8912658691406,0.549471914768219,,False
Trichome,PDF1,PDF1,gene,epidermal_identity,4199.18017578125,2.5959014892578125,,False
Trichome,CD2,CD2,gene,epidermal_identity,943.7809448242188,1.5434380769729614,,False
Trichome,SVB,SVB,gene,epidermal_identity,485.51641845703125,2.4428234100341797,,False
Trichome,WOOLLY,WOOLLY,gene,epidermal_identity,145.03640747070312,0.8344641923904419,,False
Trichome,WOX3b,WOX3b,gene,trichome_morphogenesis,169.88821411132812,2.843297243118286,,False
Trichome,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,171.7377471923828,2.844571113586426,,False
Trichome,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,243.96969604492188,2.794389009475708,,False
Trichome,MTR3,MTR3,gene,trichome_morphogenesis,1303.283203125,2.540691614151001,,True
Trichome,HAIR,HAIR,gene,trichome_morphogenesis,25.40883445739746,2.823233127593994,,False
Trichome,Hairless,Hairless,gene,trichome_morphogenesis,41.45705032348633,1.6387652158737183,,False
Trichome,Glandless,Glandless,gene,glandular_regulation,1318.2542724609375,2.8346731662750244,,False
Trichome,GCR1,GCR1,gene,glandular_regulation,105.00882720947266,2.8452131748199463,,False
Trichome,GCR2,GCR2,gene,glandular_regulation,130.26419067382812,2.845201253890991,,False
Trichome,TOE1B,TOE1B,gene,glandular_regulation,40.948970794677734,2.5076780319213867,,True
Trichome,LFS,LFS,gene,glandular_regulation,31.315393447875977,2.805828094482422,,False
Trichome,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,4.164303302764893,2.846010684967041,,False
Trichome,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,11.148567199707031,2.8237006664276123,,False
Trichome,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,7.150417327880859,2.7741193771362305,,True
Trichome,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,1.43330717086792,2.6456782817840576,,False
Trichome,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,73.49051666259766,2.459622621536255,,True
Trichome,MCPI,MCPI,gene,typeVI_terpene_metabolism,56.05443572998047,0.1490132212638855,,True
Trichome,EOT1,EOT1,gene,typeVI_terpene_metabolism,123.75959014892578,2.844644546508789,,True
Trichome,EOT2,EOT2,gene,typeVI_terpene_metabolism,11.941487312316895,2.812312364578247,,False
Trichome,TPS9,TPS9,gene,typeVI_terpene_metabolism,8.991856575012207,-0.11252573877573013,,False
Trichome,RBCS-1,RBCS-1,gene,reference_control,150.94290161132812,-0.8414472341537476,,True
Trichome,CAB13,CAB13,gene,reference_control,169.13221740722656,-1.0124812126159668,,False
Trichome,PSBO,PSBO,gene,reference_control,56.03656768798828,-1.5017937421798706,,True
Trichome,PSBS,PSBS,gene,reference_control,57.766414642333984,-1.5626389980316162,,False
Trichome,PSBR,PSBR,gene,reference_control,333.7070617675781,-1.5495117902755737,,False
Trichome,WEE1,WEE1,gene,reference_control,19.268449783325195,-0.8571767210960388,,False
Trichome,Histone H4,Histone H4,gene,reference_control,718.616943359375,-0.15537039935588837,,True
Subepidermis,ML1,ML1,gene,epidermal_identity,125.14889526367188,-0.32377973198890686,,False
Subepidermis,PDF1,PDF1,gene,epidermal_identity,522.6957397460938,-0.34427911043167114,,False
Subepidermis,CD2,CD2,gene,epidermal_identity,910.667236328125,1.4255081415176392,,False
Subepidermis,SVB,SVB,gene,epidermal_identity,51.25412368774414,-0.4245914816856384,,False
Subepidermis,WOOLLY,WOOLLY,gene,epidermal_identity,45.42005920410156,-0.2862747609615326,,False
Subepidermis,WOX3b,WOX3b,gene,trichome_morphogenesis,3.1309211254119873,-0.30879732966423035,,False
Subepidermis,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,3.898000717163086,-0.28944817185401917,,False
Subepidermis,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,11.756059646606445,-0.35653749108314514,,False
Subepidermis,MTR3,MTR3,gene,trichome_morphogenesis,113.79698181152344,-0.34627795219421387,,True
Subepidermis,HAIR,HAIR,gene,trichome_morphogenesis,1.1972105503082275,-0.2809771001338959,,False
